filename,ca_thtrA_amplitude,ca_thtrA_amplitude_err,ca_thtrA_mean,ca_thtrA_mean_err,ca_thtrA_stddev,ca_thtrA_stddev_err,ca_thtrA_chisquare,ca_thtrA_ndf,ca_thtrA_entries,cg_thtrG_amplitude,cg_thtrG_amplitude_err,cg_thtrG_mean,cg_thtrG_mean_err,cg_thtrG_stddev,cg_thtrG_stddev_err,cg_thtrG_chisquare,cg_thtrG_ndf,cg_thtrG_entries,PID,momentum,pseudorapidity,eta
out_321_20.0_4.root,417.7408481634843,16.552927895557144,222.84069663808052,0.0149158970042936,0.46500948374897055,0.010856500420641485,1.2659067160898532,4.0,975.0,138.0961164161763,15.896880299597788,29.951120928858174,0.2054916862671477,0.767993709330435,0.09298677939248212,16.960260147347434,13.0,975.0,321,20.0,4,1.9
out_321_25.0_13.root,357.27767647250096,14.019563264022025,223.36425779604173,0.017535672105103286,0.5220712458699746,0.011323043446091918,11.91514962325552,8.0,947.0,215.81021478249363,8.740963867116562,33.594403589328586,0.011310211677930504,0.3447086678691853,0.008236873379354637,10.796532523820398,13.0,947.0,321,25.0,13,2.8
out_321_18.0_11.root,349.7387324061066,14.540327595990423,222.53950710764542,0.01746790791059377,0.5336239731440059,0.013712088442581816,9.430332280917291,7.0,946.0,1.3343814036231312,19.866124358913922,33.30347362060628,3.7844778605158798,0.25875864080464006,1.322010827058313,2.5065170674013924e-09,0.0,946.0,321,18.0,11,2.6
out_321_28.5_12.root,353.81552625929976,14.04966064516057,223.5271126861488,0.01759453392150155,0.5424414836681315,0.012591024873131462,2.9138227533332515,6.0,966.0,246.02923992619827,10.073982070119825,34.9388357744942,0.01008051269186943,0.308697275263728,0.00773469148838421,7.209754326309751,11.0,966.0,321,28.5,12,2.7
out_211_25.5_16.root,315.20003244700223,13.099635607249486,224.1180738741244,0.01932044783774105,0.5841114650605412,0.014840261977166813,14.111324482243168,7.0,938.0,214.70299190440554,9.24535967313973,38.59313546659366,0.011304349219416457,0.33813416773453836,0.009295040839996771,21.13730742841665,19.0,938.0,211,25.5,16,3.1
out_2212_42.0_8.root,364.4430063280686,15.214509335168685,223.08722902252723,0.016998142112328193,0.5181727282045108,0.013580279461399392,8.246146212246517,6.0,955.0,177.24766487436077,7.491970398673203,32.86653665118376,0.014246353729640046,0.4173620861483313,0.011458471124813963,20.435929510077166,11.0,955.0,2212,42.0,8,2.3
out_2212_31.0_10.root,346.5450573985432,14.319946141133864,222.17365797128994,0.017832836266923398,0.5409858974727862,0.013817987261242226,4.722788460680084,6.0,944.0,1.050224398668531,2.647681360844957,37.09111865396141,21.93354560748112,11.373881279022864,27.15594028139715,6.521964091773826e-05,0.0,944.0,2212,31.0,10,2.5
out_321_55.0_7.root,367.4393249758183,14.608054548482366,223.9910277697446,0.017032014386740946,0.5176107163215775,0.01208927286420386,6.866633184391768,4.0,959.0,198.8400033864985,8.05031349829942,37.9535823038953,0.01256509328920268,0.3776276875384795,0.009106146228016726,10.265781018561622,13.0,959.0,321,55.0,7,2.2
out_211_25.5_9.root,353.23397563936976,14.297007809120162,224.10110045698454,0.017577284601076885,0.5412500111819544,0.013224667883373786,6.6446185301119876,8.0,965.0,234.35091497874956,9.98005732745343,38.68326712930423,0.010504588851177702,0.31938859591245805,0.008753648641951689,19.092869779120097,13.0,965.0,211,25.5,9,2.4
out_211_21.0_1.root,351.4879637701957,15.320128681719906,224.05690690281057,0.016884764741902456,0.49839957473372054,0.01384179338102054,8.287960565839674,5.0,886.0,71.26320171004554,3.0608379956494054,38.59890152769918,0.03307065192429202,0.9535579569143717,0.02516049038082352,29.2066026564022,29.0,886.0,211,21.0,1,1.6
out_211_44.0_9.root,367.5464187414649,15.52900933497196,224.13254777390003,0.01666294856441016,0.510303416709346,0.013708155383735432,6.716716298332345,6.0,947.0,222.28835901901442,8.996664113290633,38.91982121845573,0.01100724736148065,0.3329472045397445,0.007947689477350944,11.157868712379262,11.0,947.0,211,44.0,9,2.4
out_211_15.0_15.root,314.2101756207915,13.276458247411885,224.01235777888294,0.019425892918902544,0.5916944384629076,0.015793797685675515,11.976493201141018,9.0,944.0,205.41663686915535,8.56775155091943,37.84502291668531,0.011389888693526183,0.33376570452673565,0.008011484657063639,6.72831613720857,13.0,944.0,211,15.0,15,3.0
out_321_15.0_5.root,401.8373597283537,16.400051016259987,221.77048254104696,0.015317129374311967,0.47165898640859477,0.011699146541301553,2.935461234785978,4.0,953.0,1.2917830549329459,19.244781130454445,39.323036037113745,3.5942177298405635,0.24745491953812626,1.3250148509567994,9.838070366817297e-08,0.0,953.0,321,15.0,5,2.0
out_321_40.0_6.root,399.39510661193907,16.421810906604954,223.79535508606978,0.015468438625913983,0.47779795953235826,0.01214378273093894,3.340662994216717,5.0,960.0,165.79730311256418,6.732386611953834,36.9406200145623,0.014999009296200586,0.45430881515297955,0.011188394936942514,12.366264529849568,15.0,960.0,321,40.0,6,2.1
out_211_28.5_14.root,323.31231530926556,13.492884116871673,224.1544381843262,0.0189780419984021,0.5784089482184603,0.01511073781034944,7.943587633418837,9.0,946.0,227.6469643920632,9.16597067671055,38.66131819743095,0.010677453040541122,0.32408017212155776,0.007549896383138188,11.557981179870826,15.0,946.0,211,28.5,14,2.9
out_321_32.0_7.root,371.854584428386,14.950871435326517,223.64081621627233,0.016664383289126866,0.502308634359424,0.011764656219548975,7.610236213838209,7.0,944.0,186.34688693967118,7.5991770549285516,35.817152241315156,0.013107284953811622,0.39591626695459187,0.009564576448587242,14.472297448500605,14.0,944.0,321,32.0,7,2.2
out_2212_55.0_11.root,338.0247272293427,14.217583298416825,223.53392727473107,0.018928851616639042,0.5390901566913726,0.014025364661857775,14.538171995311782,5.0,928.0,245.87233131077986,10.607583452596545,35.19827482485654,0.010163414911913084,0.2940483320066359,0.008261025744802059,19.433281351903286,9.0,928.0,2212,55.0,11,2.6
out_211_25.0_5.root,412.22890113187435,17.05790446350612,224.063446354668,0.01518833861808565,0.4584504352902947,0.011748196845469155,9.562466503312814,6.0,957.0,148.02447956870725,6.018933014792126,38.62112174034145,0.016731725005495496,0.5068186529685105,0.012432739359465705,13.699350298980182,16.0,957.0,211,25.0,5,2.0
out_321_18.0_7.root,349.34408219289827,14.17286455456541,222.5037420456748,0.01765804011299673,0.5395701409769196,0.013103946928338106,6.14571772782472,6.0,952.0,1.0070636853760426,0.6126144949461557,35.56835238385113,92.30912592754751,18.69360031003284,18.282996356082027,6.430553150113115e-05,1.0,952.0,321,18.0,7,2.2
out_211_50.0_10.root,354.1766938897518,14.434524026611339,224.17887339702244,0.01750767854979006,0.5350155178314006,0.013195571992002109,5.010415211769188,7.0,955.0,252.37206777271928,9.935631168531271,38.88326908964201,0.009767545077751526,0.296125558846247,0.0065173380568244454,12.497832737834843,9.0,955.0,211,50.0,10,2.5
out_321_16.0_8.root,355.21309593218126,14.328949493754031,222.09190826720675,0.017282246124783216,0.5294085096496681,0.012622096554628981,1.3517158772966689,5.0,944.0,1.0052032077232922,0.7041648712553114,32.56509966145353,38.291782643727146,7.600483583566606,6.395442738809281,3.800254488110811e-05,0.0,944.0,321,16.0,8,2.3
out_321_28.5_13.root,349.7588097528715,14.30226983342,223.52665945091763,0.01759169184090436,0.5394746280468169,0.0134034107155937,4.186228859293869,5.0,950.0,226.19851510959253,9.322020717291444,34.921309915126706,0.010747182206660332,0.32474412419947685,0.008056927702914912,21.588300104573438,15.0,950.0,321,28.5,13,2.8
out_2212_24.5_4.root,404.97996534042846,16.34942671906027,220.9448306843189,0.015417555352653248,0.475253906730341,0.011674161776768,7.827905850700036,7.0,972.0,1.4989259990524149,16.765531999247244,41.5,1.9196805440874762,2.445203530164754,17.944018487462493,1.4291331075081309e-13,0.0,972.0,2212,24.5,4,1.9
out_211_25.0_3.root,369.30792933792065,15.473840793536812,224.087642075681,0.016360054229021617,0.48805957079107953,0.012431624723081902,5.397965875262137,6.0,909.0,100.69762018353244,4.396426080352967,38.630547577759465,0.023811439782996782,0.6952791695079731,0.01955500963464346,31.09934967231117,22.0,909.0,211,25.0,3,1.8
out_211_25.5_7.root,389.83455646363035,15.477639389010129,224.10326399382262,0.015757611891444,0.4841125933887401,0.01103633432731857,6.89807664220346,6.0,953.0,191.2071946782784,7.778003118339227,38.58931960991953,0.012710280197662387,0.3836461681740817,0.0091990512150259,26.31069629927582,16.0,953.0,211,25.5,7,2.2
out_2212_30.5_6.root,375.13189354734993,15.46968794206406,222.09781375805034,0.016498058184090253,0.5017607166999112,0.012909697674391818,4.021631537128823,5.0,946.0,1.005397448549439,0.6018453780717861,35.64115308176243,110.77309844997949,25.0013904239428,18.064310924976365,7.456036458701889e-05,1.0,946.0,2212,30.5,6,2.1
out_2212_34.0_16.root,315.225772568847,12.51340286116685,222.57377529434245,0.019572341172278167,0.5861676222512713,0.013082235406686071,8.817997974437375,6.0,935.0,1.0065928369120798,0.4964364575547883,38.0126241476811,134.93918825376196,34.3531025438441,20.545405963318256,0.00011632707225480044,3.0,935.0,2212,34.0,16,3.1
